disaster_num,disaster_year,year,state,AFS_name,pounds,dollars,5_yr_avg_pounds,5_yr_avg_value,prct_dif_pounds,prct_dif_value,prct_decr_value,dollar_diff_nominal,dollar_diff_real,management,appropration_amt,approp_real_ratio
45,2009,2009,"ALASKA, YUKON",SALMON,5197856,2670692.15,5723574,3930341.04,0.91,0.68,-0.32,1259648.89,1536771.64,federal,5000000,3.253573836
43,2009,2009,"OR, CA",SALMON,2287293,3535404,6139602.2,16223831.6,0.37,0.22,-0.78,12688427.6,15479881.67,federal,170000000,10.98199609
40,2008,2008,"ME, MA, NH",SHELLFISH,37324853,228314697,48133471.6,223200660.4,0.775444857,1.022912283,0.022912283,-5114036.6,-6239124.652,state,5000000,-0.036807117
39,2008,2008,LOUISIANA,ALL FISH,929430275,282196938,1015553447,264734058.6,0.92,1.07,0.07,-17462879.4,-21304712.87,federal,47000000,-2.206084648
38,2007,2007,"WASHINGTON, TRIBAL","SALMON, SOCKEYE",,,,,,,,,,federal_tribal,2000000,
37,2008,2008,"VIRGINIA, MARYLAND","CRAB, BLUE",58115220,68127954,56316806.2,55974565.6,1.03,1.22,0.22,-12153388.4,-14827133.85,state,30000000,-2.023317541
36,2008,2008,"WA, OR, CA",West Coast Salmon,19814463,27481959,33919461.6,37226902,0.58,0.74,-0.26,9744943,11888830.46,federal,170000000,14.29913569
33,2008,2008,ALASKA,"CRAB, SNOW",,,,,,,,,-65348083.42,,,
33,2008,2007,ALASKA,"CRAB, SNOW",31348422,126688112,19446895,74427089.2,1.61,1.7,0.7,-52261022.8,-8606125.536,federal,10000000,-0.156841961
31,2005-2006,2006,ALASKA,"CRAB, SNOW",27888573,80343714,18289424,71696560.6,1.524846983,1.120607646,0.120607646,-8647153.4,-11241299.42,federal,10000000,29.92730389
31,2005-2006,2005,ALASKA,"CRAB, SNOW",16287927,62535341,,,0.890565334,0.872222328,-0.127777672,9161219.6,12367646.46,federal,10000000,29.92730389
30,2005-2006,2006,"OR, CA",SALMON,,275000,,1005500,,0.273495773,-0.726504227,730500,832770,federal,60400000,205.7571112
30,2005-2006,2005,"OR, CA",SALMON,,1221000,,,,1.214321233,,-215500,-290925,federal,60400000,205.7571112
29,2005,2005,"AL, MS, FL, LA",ALL FISHERIES,1319132067,473623172,1979755290,599312965.8,0.67,0.79,-0.21,125689793.8,169681221.6,federal,213000000,1.255295064
27,2005,2005,MAINE,SHELLFISH,5059046,17830589,6442761,18851499.4,0.79,0.95,-0.05,1020910.4,1378229.04,state,2000000,1.451137614
26,2005,2005,MASSACHUSETTS,SHELLFISH,23407772,20352370,10023538,5449902.8,2.34,3.73,2.73,-14902467.2,-20118330.72,state,2000000,-0.099411826
25,2000-2003,2003,ALASKA,"CRAB, SNOW",17382102,76264950,94903772.33,249932478.2,0.183155017,0.305142215,-0.694857785,173667528.2,246607890,federal,10000000,0.038841731
25,2000-2003,2002,ALASKA,"CRAB, SNOW",20839528,73385686,,,0.219585876,0.293622048,-0.706377952,176546792.2,255992848.6,federal,10000000,0.038841731
25,2000-2003,2001,ALASKA,"CRAB, SNOW",15145534,56227671,,,0.159588324,0.224971446,-0.775028554,193704807.2,284746066.5,federal,10000000,0.038841731
23,2003,2003,GEORGIA,"CRAB, BLUE ",1713197,1970493,3443853,2621628.8,0.5,0.75,-0.25,651135.8,924612.84,state,5000000,5.407668792
22,2002,2002,ALASKA,"CRAB, SNOW",20839528,73385686,100042461.6,238453040.4,0.21,0.31,-0.69,165067354.4,239347663.9,federal,10000000,0.041780228
21,2001,2001,ALASKA,"CRAB, SNOW",15145534,56227671,105031784.8,253059622.6,0.14,0.22,-0.78,196831951.6,289342968.9,federal,10000000,0.034561061
19,1999,1999,WASHINGTON + TRIBAL,"SALMON,SOCKEYE",,,,,,,,9000000,14130000,federal_tribal,,
18,1997-2000,2000,ALASKA,SALMON,3861618,1956995,14284572.33,10377241.67,0.27033487,0.188585278,-0.811414722,8420246.667,12798774.93,federal,22500000,2.343839574
18,1997-2000,1999,ALASKA,SALMON,3494416,5707098,,,0.244628675,0.549962908,-0.450037092,4670143.667,7332125.557,federal,22500000,2.343839574
18,1997-2000,1998,ALASKA,SALMON,7207941,3876544,,,0.504596206,0.373562082,-0.626437918,6500697.667,10336109.29,federal,22500000,2.343839574
17,2000,2000,ALASKA,"CRAB, SNOW",22782665,79513641,109327993.8,284016245.6,0.21,0.28,-0.72,204502604.6,300618828.8,federal,10000000,0.033264716
15,1999,1999,NORTH CAROLINA,"Blue crab, white shrimp, oyester,scallop,flounder,snapper,Grouper",67913933,60286590,65409325,53874186.6,1.04,1.12,0.12,-6412403.4,-10067473.34,state,5900000,-0.586045754
14,1999,1999,"NEW YORK, CT","LOBSTER, AMERICAN",9048236,34573110,10322470.4,34794991.8,0.88,0.99,-0.01,221881.8,348354.43,state,13900000,39.90188958
13,1999,1999,"CA, OR, WA","GROUNDFISH, MULTISPECIES",618084911.8,87321808,459797637.2,97939412,1.34,0.89,-0.11,10617604,16669638.28,federal,5000000,0.29994652
12,1998,1998,FLORIDA,"STONE CRAB, SPINY LOBSTER",6658034,29464741,7396537.6,32917031.6,0.9001555,0.895121448,-0.104878552,3452290.6,5489142.054,state,4800000,3647.749035
11,1998,1998,ALASKA,SALMON,69631243,74824285,208130768.6,164892596.8,0.33,0.45,-0.55,90068311.8,143208615.8,federal,50000000,0.349141005
10,1998,1998,"WA, OR, CA",West Coast Salmon,17568014,14199816,32718907.6,26691645.8,0.54,0.53,-0.47,12491829.8,19862009.38,federal,11000000,0.553821106
9,1997,1997,"LA, MS","SHRIMO, BROWN",62988716,112481181,58907565.2,84528035.4,1.07,1.33,0.33,-27953145.6,-45284095.87,state,2000000,-0.044165616
7,1997,1997,"ALASKA, BRISTOL BAY & KUSKOKWIM",SALMON,79180546,69893371,229119949.2,188447449.8,0.35,0.37,-0.63,118554078.8,192057607.7,federal,7000000,0.036447398
6,1995,1995,"WA, OR, CA",SALMON,35281970,25845982,42233636.4,43780522.4,0.84,0.59,-0.41,17934540.4,30668064.08,federal,13000000,0.423893728
5,1995,1995,"MA, ME, CT, RI, NH",GROUNDFISH,68057429,70160579,138179975.2,113588322.2,0.49,0.62,-0.38,43427743.2,74261440.87,federal,25000000,0.336648464
4,1995,1995,"AL, FL, MI, TA, LA",ALL FISH,1616681638,772669696,1909524556,690850258.2,0.85,1.12,0.12,-81819437.8,-139911238.6,federal,15000000,-0.10721083
3,1992-1994,1994,"WA, OR, CA",SALMON,33926060,33067131,68005613,98976159.6,0.498871468,0.334091878,-0.665908122,65909028.6,115999890.3,federal,15700000,0.133849662
3,1992-1994,1993,"WA, OR, CA",SALMON,41484226,33441734,,,0.610011794,0.337876658,-0.662123342,65534425.6,117961966.1,federal,15700000,0.133849662
3,1992-1994,1992,"WA, OR, CA",SALMON,29621080,30483631,,,0.435568164,0.307989632,-0.692010368,68492528.6,127396103.2,federal,15700000,0.133849662
2,1994,1994,MA,GROUNDFISH,51430549,52146561,104036425.8,85127906.6,0.49,0.61,-0.39,32981345.6,58047168.26,federal,30000000,0.516821077
1,1989,1989,Southeast,ALL FISHERIES,,,,,,,,,,federal,10000000,
